<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.VKCO:TQBR,D,20211110,000000,1409.0000000,1415.6000000,1371.6000000,1379.4000000,598352
MOEX.VKCO:TQBR,D,20211111,000000,1389.4000000,1397.2000000,1371.2000000,1391.0000000,385666
MOEX.VKCO:TQBR,D,20211112,000000,1395.0000000,1413.8000000,1378.0000000,1403.0000000,581613
MOEX.VKCO:TQBR,D,20211115,000000,1405.0000000,1414.0000000,1384.0000000,1388.8000000,314129
MOEX.VKCO:TQBR,D,20211116,000000,1393.4000000,1401.0000000,1378.0000000,1389.4000000,319555
MOEX.VKCO:TQBR,D,20211117,000000,1385.0000000,1400.0000000,1380.2000000,1380.8000000,253253
MOEX.VKCO:TQBR,D,20211118,000000,1380.8000000,1398.8000000,1376.4000000,1385.0000000,280243
MOEX.VKCO:TQBR,D,20211119,000000,1390.8000000,1395.0000000,1320.0000000,1325.8000000,1016709
MOEX.VKCO:TQBR,D,20211122,000000,1329.0000000,1339.2000000,1259.2000000,1280.0000000,1101739
MOEX.VKCO:TQBR,D,20211123,000000,1280.0000000,1296.0000000,1256.4000000,1295.0000000,765551
MOEX.VKCO:TQBR,D,20211124,000000,1305.0000000,1311.8000000,1266.8000000,1290.2000000,442730
MOEX.VKCO:TQBR,D,20211125,000000,1291.6000000,1301.6000000,1268.2000000,1279.0000000,326323
MOEX.VKCO:TQBR,D,20211126,000000,1268.0000000,1268.0000000,1203.0000000,1206.8000000,775285
MOEX.VKCO:TQBR,D,20211129,000000,1219.0000000,1265.4000000,1212.6000000,1244.8000000,661610
MOEX.VKCO:TQBR,D,20211130,000000,1210.0000000,1267.4000000,1210.0000000,1247.0000000,892553
MOEX.VKCO:TQBR,D,20211201,000000,1257.0000000,1300.0000000,1254.4000000,1264.8000000,570964
MOEX.VKCO:TQBR,D,20211202,000000,1270.4000000,1378.6000000,1260.0000000,1348.2000000,1872952
MOEX.VKCO:TQBR,D,20211203,000000,1346.8000000,1347.2000000,1212.4000000,1240.8000000,1832216
MOEX.VKCO:TQBR,D,20211206,000000,1245.4000000,1272.0000000,1155.0000000,1167.8000000,1203592
MOEX.VKCO:TQBR,D,20211207,000000,1165.0000000,1173.2000000,1088.2000000,1111.0000000,2139075
MOEX.VKCO:TQBR,D,20211208,000000,1121.8000000,1129.4000000,1016.4000000,1041.4000000,2375378
MOEX.VKCO:TQBR,D,20211209,000000,1042.8000000,1042.8000000,1001.2000000,1015.0000000,1805462
MOEX.VKCO:TQBR,D,20211210,000000,1018.4000000,1053.8000000,983.0000000,986.6000000,1406697
MOEX.VKCO:TQBR,D,20211213,000000,987.0000000,993.0000000,901.0000000,905.8000000,3177325
MOEX.VKCO:TQBR,D,20211214,000000,914.4000000,950.0000000,842.8000000,897.4000000,1784849
MOEX.VKCO:TQBR,D,20211215,000000,900.0000000,973.8000000,883.6000000,961.0000000,2233053
MOEX.VKCO:TQBR,D,20211216,000000,966.0000000,1019.0000000,951.4000000,982.8000000,2446215
MOEX.VKCO:TQBR,D,20211217,000000,983.4000000,1002.2000000,940.0000000,962.0000000,1109830
MOEX.VKCO:TQBR,D,20211220,000000,957.2000000,957.8000000,891.0000000,912.0000000,1132272
MOEX.VKCO:TQBR,D,20211221,000000,915.2000000,948.0000000,915.0000000,924.6000000,766397
